Constituency Number,Constituency Name,District,Candidate Name,Party,Votes,EVM Round Status,Image URL,Last Updated
59,DHARMAPURI,DHARMAPURI,SARAVANAN. G.,Independent, 525 ,Status of EVM Round:14/23,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/SARAV-2026-20260409010321.jpg,02:24 PM On 04/05/2026
59,DHARMAPURI,DHARMAPURI,THIRUPATHI. M.,Independent, 439 ,Status of EVM Round:14/23,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/THIRU-2026-20260406054019.jpg,02:24 PM On 04/05/2026
59,DHARMAPURI,DHARMAPURI,MANIKANDAN. S.,Vishwa Tamil Kazhagam, 412 ,Status of EVM Round:14/23,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/MANIK-2026-20260406113839.jpg,02:24 PM On 04/05/2026
59,DHARMAPURI,DHARMAPURI,NAGARAJAN. D.,Independent, 358 ,Status of EVM Round:14/23,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/NAGAR-2026-20260402014513.jpg,02:24 PM On 04/05/2026
59,DHARMAPURI,DHARMAPURI,MADHU. P.,Naadaalum Makkal Katchi, 296 ,Status of EVM Round:14/23,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/MADHU-2026-20260409021610.jpg,02:24 PM On 04/05/2026
59,DHARMAPURI,DHARMAPURI,SIVAGAMI. G.,Tamilar Makkal Katchi, 239 ,Status of EVM Round:14/23,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/SIVAG-2026-20260409125651.jpg,02:24 PM On 04/05/2026
59,DHARMAPURI,DHARMAPURI,SIVAN. A.,Independent, 225 ,Status of EVM Round:14/23,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/SIVAN-2026-20260406065714.jpg,02:24 PM On 04/05/2026
59,DHARMAPURI,DHARMAPURI,KUMAR. V.,Independent, 188 ,Status of EVM Round:14/23,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/KUMAR-2026-20260409125910.jpg,02:24 PM On 04/05/2026
59,DHARMAPURI,DHARMAPURI,ARUMUGAM. MUNI.,Independent, 116 ,Status of EVM Round:14/23,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/ARUMU-2026-20260409012247.jpg,02:24 PM On 04/05/2026
59,DHARMAPURI,DHARMAPURI,SUNDARAMOORTHY. M.,Independent, 103 ,Status of EVM Round:14/23,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/SUNDA-2026-20260402014205.jpg,02:24 PM On 04/05/2026
59,DHARMAPURI,DHARMAPURI,SIVAM. R.,Independent, 88 ,Status of EVM Round:14/23,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/SIVAM-2026-20260409010355.jpg,02:24 PM On 04/05/2026
59,DHARMAPURI,DHARMAPURI,PALANI. K.,Independent, 87 ,Status of EVM Round:14/23,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/PALAN-2026-20260402030526.jpg,02:24 PM On 04/05/2026
59,DHARMAPURI,DHARMAPURI,PRABHAKARAN. M.,Independent, 55 ,Status of EVM Round:14/23,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/PRABH-2026-20260406050740.jpg,02:24 PM On 04/05/2026
59,DHARMAPURI,DHARMAPURI,NOTA,None of the Above, 646 ,Status of EVM Round:14/23,https://results.eci.gov.in/ResultAcGenMay2026/img/nota.jpg,02:24 PM On 04/05/2026
63,TIRUVANNAMALAI,TIRUVANNAMALAI,ARUL ARUMUGAM,Tamilaga Vettri Kazhagam," 32,992 ",Status of EVM Round:9/23,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/ARULA-2026-20260406033008.jpg,02:27 PM On 04/05/2026
63,TIRUVANNAMALAI,TIRUVANNAMALAI,VELU. E.V,Dravida Munnetra Kazhagam," 31,885 ",Status of EVM Round:9/23,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/VELU-2026-20260409080528.jpg,02:27 PM On 04/05/2026
63,TIRUVANNAMALAI,TIRUVANNAMALAI,ELUMALAI. C,Bharatiya Janata Party," 13,772 ",Status of EVM Round:9/23,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/ELUMA-2026-20260409080318.jpg,02:27 PM On 04/05/2026
63,TIRUVANNAMALAI,TIRUVANNAMALAI,VIGNESH. S,Naam Tamilar Katchi," 2,399 ",Status of EVM Round:9/23,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/VIGNE-2026-20260409102934.jpg,02:27 PM On 04/05/2026
63,TIRUVANNAMALAI,TIRUVANNAMALAI,BENNY RAJAN. C.J,Republican Party of India (Athawale), 251 ,Status of EVM Round:9/23,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/BENNY-2026-20260409063606.jpg,02:27 PM On 04/05/2026
63,TIRUVANNAMALAI,TIRUVANNAMALAI,SALAM .M,Independent, 146 ,Status of EVM Round:9/23,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/MSAL-2026-20260406073006.jpg,02:27 PM On 04/05/2026
63,TIRUVANNAMALAI,TIRUVANNAMALAI,ELUMALAI. A S/O ARUMUGAM,Independent, 137 ,Status of EVM Round:9/23,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/AELU-2026-20260406051519.jpg,02:27 PM On 04/05/2026
63,TIRUVANNAMALAI,TIRUVANNAMALAI,RAJ. S,Bahujan Samaj Party, 124 ,Status of EVM Round:9/23,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/SRAJ-2026-20260404080341.jpg,02:27 PM On 04/05/2026
63,TIRUVANNAMALAI,TIRUVANNAMALAI,ADHITHYA PALANISAMY. A,Independent, 116 ,Status of EVM Round:9/23,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/AADI-2026-20260406031303.jpg,02:27 PM On 04/05/2026
63,TIRUVANNAMALAI,TIRUVANNAMALAI,ARUL. K,Independent, 102 ,Status of EVM Round:9/23,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/KARU-2026-20260406095808.jpg,02:27 PM On 04/05/2026
63,TIRUVANNAMALAI,TIRUVANNAMALAI,VIJAYAKUMAR. S,Naadaalum Makkal Katchi, 97 ,Status of EVM Round:9/23,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/VIJAY-2026-20260409103052.jpg,02:27 PM On 04/05/2026
63,TIRUVANNAMALAI,TIRUVANNAMALAI,KANNAN. P,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi, 88 ,Status of EVM Round:9/23,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/KANNA-2026-20260409102921.jpg,02:27 PM On 04/05/2026
63,TIRUVANNAMALAI,TIRUVANNAMALAI,PALANI. N,Independent, 80 ,Status of EVM Round:9/23,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/NPAL-2026-20260406090620.jpg,02:27 PM On 04/05/2026
63,TIRUVANNAMALAI,TIRUVANNAMALAI,KOTHANDAPANI. B,Independent, 76 ,Status of EVM Round:9/23,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/KOTHA-2026-20260409103004.jpg,02:27 PM On 04/05/2026
63,TIRUVANNAMALAI,TIRUVANNAMALAI,ANANTH. A. M,Independent, 61 ,Status of EVM Round:9/23,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/ANANT-2026-20260406092900.jpg,02:27 PM On 04/05/2026
63,TIRUVANNAMALAI,TIRUVANNAMALAI,MALLI. S,Tamizhaga Vaazhvurimai Katchi, 42 ,Status of EVM Round:9/23,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/MALLI-2026-20260409113603.jpg,02:27 PM On 04/05/2026
63,TIRUVANNAMALAI,TIRUVANNAMALAI,ARUL ANAND. V,Independent, 42 ,Status of EVM Round:9/23,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/VARU-2026-20260406055142.jpg,02:27 PM On 04/05/2026
63,TIRUVANNAMALAI,TIRUVANNAMALAI,RAMESH. V,Independent, 41 ,Status of EVM Round:9/23,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/VRAM-2026-20260406102730.jpg,02:27 PM On 04/05/2026
63,TIRUVANNAMALAI,TIRUVANNAMALAI,NAKKIRAN. A,Thamizhaka Padaippalar Makkal Katchi, 40 ,Status of EVM Round:9/23,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/NAKKI-2026-20260409103031.jpg,02:27 PM On 04/05/2026
63,TIRUVANNAMALAI,TIRUVANNAMALAI,ELUMALAI. C  S/O CHINNAKUZHANTHAI,Independent, 38 ,Status of EVM Round:9/23,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/CELU-2026-20260406101805.jpg,02:27 PM On 04/05/2026
63,TIRUVANNAMALAI,TIRUVANNAMALAI,VIGNESH. M,Independent, 31 ,Status of EVM Round:9/23,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/MVIG-2026-20260404070517.jpg,02:27 PM On 04/05/2026
63,TIRUVANNAMALAI,TIRUVANNAMALAI,VELU. V,Anti Corruption Dynamic Party, 30 ,Status of EVM Round:9/23,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/VVEL-2026-20260406094042.jpg,02:27 PM On 04/05/2026
63,TIRUVANNAMALAI,TIRUVANNAMALAI,VENKATESAN. M,Independent, 24 ,Status of EVM Round:9/23,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/MVEN-2026-20260404072117.jpg,02:27 PM On 04/05/2026
63,TIRUVANNAMALAI,TIRUVANNAMALAI,RAJA. V,Independent, 23 ,Status of EVM Round:9/23,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/RAJA-2026-20260409102950.jpg,02:27 PM On 04/05/2026
63,TIRUVANNAMALAI,TIRUVANNAMALAI,ANBALAGAN. M,Independent, 22 ,Status of EVM Round:9/23,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/MANB-2026-20260406105528.jpg,02:27 PM On 04/05/2026
63,TIRUVANNAMALAI,TIRUVANNAMALAI,ELUMALAI. C S/O CHINNARASU,Independent, 22 ,Status of EVM Round:9/23,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/CELU-2026-20260406053316.jpg,02:27 PM On 04/05/2026
63,TIRUVANNAMALAI,TIRUVANNAMALAI,MAHESWARI. R,Independent, 20 ,Status of EVM Round:9/23,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/RMAH-2026-20260406111112.jpg,02:27 PM On 04/05/2026
63,TIRUVANNAMALAI,TIRUVANNAMALAI,MARIKKANNU. E,Independent, 19 ,Status of EVM Round:9/23,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/AMAR-2026-20260404074401.jpg,02:27 PM On 04/05/2026
63,TIRUVANNAMALAI,TIRUVANNAMALAI,MOORTHY. P,Independent, 13 ,Status of EVM Round:9/23,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/MOORT-2026-20260408065128.jpg,02:27 PM On 04/05/2026
63,TIRUVANNAMALAI,TIRUVANNAMALAI,VELU. K,Independent, 12 ,Status of EVM Round:9/23,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/KVEL-2026-20260406110253.jpg,02:27 PM On 04/05/2026
63,TIRUVANNAMALAI,TIRUVANNAMALAI,NOTA,None of the Above, 402 ,Status of EVM Round:9/23,https://results.eci.gov.in/ResultAcGenMay2026/img/nota.jpg,02:27 PM On 04/05/2026
55,HOSUR,KRISHNAGIRI,BALAKRISHNAREDDY. P,All India Anna Dravida Munnetra Kazhagam," 54,005 ",Status of EVM Round:13/34,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/BALAK-2026-20260406081837.jpg,02:24 PM On 04/05/2026
55,HOSUR,KRISHNAGIRI,SATHYA.S.A.,Dravida Munnetra Kazhagam," 28,846 ",Status of EVM Round:13/34,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/SATHY-2026-20260404062936.jpg,02:24 PM On 04/05/2026
55,HOSUR,KRISHNAGIRI,VENDARKARASAN.S,Tamilaga Vettri Kazhagam," 25,437 ",Status of EVM Round:13/34,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/VENDA-2026-20260404080447.jpg,02:24 PM On 04/05/2026
55,HOSUR,KRISHNAGIRI,STALIN.R,Naam Tamilar Katchi," 2,706 ",Status of EVM Round:13/34,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/STALI-2026-20260330054339.jpg,02:24 PM On 04/05/2026
55,HOSUR,KRISHNAGIRI,SURYA. Y,Republican Party of India (Athawale), 424 ,Status of EVM Round:13/34,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/SURYA-2026-20260406093008.jpg,02:24 PM On 04/05/2026
55,HOSUR,KRISHNAGIRI,RAJENDRAN.P,Independent, 143 ,Status of EVM Round:13/34,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/RAJEN-2026-20260402054800.jpg,02:24 PM On 04/05/2026
55,HOSUR,KRISHNAGIRI,MARIYA FRANCIS.S,Independent, 116 ,Status of EVM Round:13/34,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/MARIY-2026-20260402065256.jpg,02:24 PM On 04/05/2026
55,HOSUR,KRISHNAGIRI,MASOOD.S,Independent, 109 ,Status of EVM Round:13/34,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/MASOO-2026-20260404075307.jpg,02:24 PM On 04/05/2026
55,HOSUR,KRISHNAGIRI,PONNUMANI.R,Tamilar Makkal Katchi, 97 ,Status of EVM Round:13/34,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/PONNU-2026-20260406074338.jpg,02:24 PM On 04/05/2026
55,HOSUR,KRISHNAGIRI,GANESH.M,Independent, 67 ,Status of EVM Round:13/34,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/GANES-2026-20260410114907.jpg,02:24 PM On 04/05/2026
55,HOSUR,KRISHNAGIRI,PATTABIRAMA. C,Independent, 65 ,Status of EVM Round:13/34,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/PATTA-2026-20260406084459.jpg,02:24 PM On 04/05/2026
55,HOSUR,KRISHNAGIRI,DEVAPPA.Y,Independent, 57 ,Status of EVM Round:13/34,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/DEVAP-2026-20260330061722.jpg,02:24 PM On 04/05/2026
55,HOSUR,KRISHNAGIRI,DR.SHANMUGAM.A.R.,Independent, 33 ,Status of EVM Round:13/34,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/SHANM-2026-20260404065853.jpg,02:24 PM On 04/05/2026
55,HOSUR,KRISHNAGIRI,NOTA,None of the Above, 610 ,Status of EVM Round:13/34,https://results.eci.gov.in/ResultAcGenMay2026/img/nota.jpg,02:24 PM On 04/05/2026
65,KALASAPAKKAM,TIRUVANNAMALAI,AGRI KRISHNAMURTHY. S S,All India Anna Dravida Munnetra Kazhagam," 45,956 ",Status of EVM Round:11/22,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/AGRIK-2026-20260410122759.jpg,02:27 PM On 04/05/2026
65,KALASAPAKKAM,TIRUVANNAMALAI,SARAVANAN. P.S.T,Dravida Munnetra Kazhagam," 31,544 ",Status of EVM Round:11/22,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/SARAV-2026-20260406074613.jpg,02:27 PM On 04/05/2026
65,KALASAPAKKAM,TIRUVANNAMALAI,ELUMALAI. P,Tamilaga Vettri Kazhagam," 24,689 ",Status of EVM Round:11/22,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/ELUMA-2026-20260410122125.jpg,02:27 PM On 04/05/2026
65,KALASAPAKKAM,TIRUVANNAMALAI,SEETHA SIVANANDAM. P,Naam Tamilar Katchi," 2,443 ",Status of EVM Round:11/22,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/SEETH-2026-20260410121908.jpg,02:27 PM On 04/05/2026
65,KALASAPAKKAM,TIRUVANNAMALAI,SANTHAKUMARAN. A,Independent, 471 ,Status of EVM Round:11/22,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/SANTH-2026-20260410122059.jpg,02:27 PM On 04/05/2026
65,KALASAPAKKAM,TIRUVANNAMALAI,DEIVEEGAN. P,Independent, 410 ,Status of EVM Round:11/22,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/DEIVE-2026-20260410121922.jpg,02:27 PM On 04/05/2026
65,KALASAPAKKAM,TIRUVANNAMALAI,KRISHNAMURTHY. R,Independent, 367 ,Status of EVM Round:11/22,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/KRISH-2026-20260409025803.jpg,02:27 PM On 04/05/2026
65,KALASAPAKKAM,TIRUVANNAMALAI,SARAVANAN. K,Independent, 292 ,Status of EVM Round:11/22,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/SARAV-2026-20260410122233.jpg,02:27 PM On 04/05/2026
65,KALASAPAKKAM,TIRUVANNAMALAI,BALAJI. P,Independent, 268 ,Status of EVM Round:11/22,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/BALAJ-2026-20260410121950.jpg,02:27 PM On 04/05/2026
65,KALASAPAKKAM,TIRUVANNAMALAI,SATHYA. V,Naadaalum Makkal Katchi, 133 ,Status of EVM Round:11/22,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/SATHY-2026-20260409025012.jpg,02:27 PM On 04/05/2026
65,KALASAPAKKAM,TIRUVANNAMALAI,KOTHANDAPANI. B,Independent, 129 ,Status of EVM Round:11/22,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/KOTHA-2026-20260410122214.jpg,02:27 PM On 04/05/2026
65,KALASAPAKKAM,TIRUVANNAMALAI,KAMARAJ. G,Independent, 115 ,Status of EVM Round:11/22,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/KAMAR-2026-20260410122318.jpg,02:27 PM On 04/05/2026
65,KALASAPAKKAM,TIRUVANNAMALAI,RAJA. N,Independent, 104 ,Status of EVM Round:11/22,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/RAJA-2026-20260410122159.jpg,02:27 PM On 04/05/2026
65,KALASAPAKKAM,TIRUVANNAMALAI,MANIKANDAN. K,Independent, 83 ,Status of EVM Round:11/22,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/MANIK-2026-20260410122042.jpg,02:27 PM On 04/05/2026
65,KALASAPAKKAM,TIRUVANNAMALAI,KRISHNAMURTHY. M,Independent, 68 ,Status of EVM Round:11/22,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/KRISH-2026-20260409025827.jpg,02:27 PM On 04/05/2026
65,KALASAPAKKAM,TIRUVANNAMALAI,BASKARAN. R,Independent, 53 ,Status of EVM Round:11/22,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/BASKA-2026-20260410121935.jpg,02:27 PM On 04/05/2026
65,KALASAPAKKAM,TIRUVANNAMALAI,SARAVANAN. V,Tamizhaga Vaazhvurimai Katchi, 45 ,Status of EVM Round:11/22,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/SARAV-2026-20260410122342.jpg,02:27 PM On 04/05/2026
65,KALASAPAKKAM,TIRUVANNAMALAI,KRISHNAMURTHY. S,Independent, 35 ,Status of EVM Round:11/22,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/KRISH-2026-20260410122529.jpg,02:27 PM On 04/05/2026
65,KALASAPAKKAM,TIRUVANNAMALAI,SUMAN. M,Aanaithinthiya Jananayaka Pathukappu Kazhagam, 34 ,Status of EVM Round:11/22,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/SUMAN-2026-20260410122559.jpg,02:27 PM On 04/05/2026
65,KALASAPAKKAM,TIRUVANNAMALAI,ELUMALAI. S,Independent, 32 ,Status of EVM Round:11/22,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/ELUMA-2026-20260410122255.jpg,02:27 PM On 04/05/2026
65,KALASAPAKKAM,TIRUVANNAMALAI,ELUMALAI. T,Independent, 28 ,Status of EVM Round:11/22,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/ELUMA-2026-20260410122144.jpg,02:27 PM On 04/05/2026
65,KALASAPAKKAM,TIRUVANNAMALAI,NOTA,None of the Above, 228 ,Status of EVM Round:11/22,https://results.eci.gov.in/ResultAcGenMay2026/img/nota.jpg,02:27 PM On 04/05/2026
56,THALLI,KRISHNAGIRI,RAMACHANDRAN. T,Communist Party of India," 31,346 ",Status of EVM Round:9/24,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/RAMAC-2026-20260410023703.jpg,02:27 PM On 04/05/2026
56,THALLI,KRISHNAGIRI,DR.NAGESH KUMAR. C,Bharatiya Janata Party," 30,738 ",Status of EVM Round:9/24,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/DRNA-2026-20260410024132.jpg,02:27 PM On 04/05/2026
56,THALLI,KRISHNAGIRI,SURESH. G,Tamilaga Vettri Kazhagam," 13,579 ",Status of EVM Round:9/24,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/SURES-2026-20260410024029.jpg,02:27 PM On 04/05/2026
56,THALLI,KRISHNAGIRI,NARASIMMA REDDY ALIAS NARASIMMAN. R,Naam Tamilar Katchi," 1,266 ",Status of EVM Round:9/24,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/NARAS-2026-20260410023627.jpg,02:27 PM On 04/05/2026
56,THALLI,KRISHNAGIRI,AJITH. G,Tamizhaga Vaazhvurimai Katchi, 357 ,Status of EVM Round:9/24,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/AJITH-2026-20260410023816.jpg,02:27 PM On 04/05/2026
56,THALLI,KRISHNAGIRI,ASANRAJA. K,Independent, 242 ,Status of EVM Round:9/24,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/ASANR-2026-20260410023746.jpg,02:27 PM On 04/05/2026
56,THALLI,KRISHNAGIRI,JAGAN. M,Independent, 235 ,Status of EVM Round:9/24,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/JAGAN-2026-20260410023605.jpg,02:27 PM On 04/05/2026
56,THALLI,KRISHNAGIRI,DEVAPPA. Y,Independent, 206 ,Status of EVM Round:9/24,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/DEVAP-2026-20260410024209.jpg,02:27 PM On 04/05/2026
56,THALLI,KRISHNAGIRI,JAYARAM. N,Anna Makkal Katchi, 171 ,Status of EVM Round:9/24,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/JAYAR-2026-20260410023642.jpg,02:27 PM On 04/05/2026
56,THALLI,KRISHNAGIRI,KUMAR. D.J,Independent, 111 ,Status of EVM Round:9/24,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/KUMAR-2026-20260410023911.jpg,02:27 PM On 04/05/2026
56,THALLI,KRISHNAGIRI,NOTA,None of the Above, 591 ,Status of EVM Round:9/24,https://results.eci.gov.in/ResultAcGenMay2026/img/nota.jpg,02:27 PM On 04/05/2026
69,VANDAVASI,TIRUVANNAMALAI,AMBETHKUMAR. S,Dravida Munnetra Kazhagam," 34,843 ",Status of EVM Round:11/21,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/AMBET-2026-20260406071034.jpg,02:27 PM On 04/05/2026
69,VANDAVASI,TIRUVANNAMALAI,UDHAYAKUMAR. M,Tamilaga Vettri Kazhagam," 31,084 ",Status of EVM Round:11/21,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/UDHAY-2026-20260404061112.jpg,02:27 PM On 04/05/2026
69,VANDAVASI,TIRUVANNAMALAI,RANI. P,All India Anna Dravida Munnetra Kazhagam," 29,695 ",Status of EVM Round:11/21,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/RANIP-2026-20260404054320.jpg,02:27 PM On 04/05/2026
69,VANDAVASI,TIRUVANNAMALAI,GANESH. R,Naam Tamilar Katchi," 2,686 ",Status of EVM Round:11/21,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/GANES-2026-20260410120036.jpg,02:27 PM On 04/05/2026
69,VANDAVASI,TIRUVANNAMALAI,RANI. A,Independent, 289 ,Status of EVM Round:11/21,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/RANI-2026-20260406080404.jpg,02:27 PM On 04/05/2026
69,VANDAVASI,TIRUVANNAMALAI,THAMARAI SELVI. S,Tamizhaga Vaazhvurimai Katchi, 149 ,Status of EVM Round:11/21,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/THAMA-2026-20260406065738.jpg,02:27 PM On 04/05/2026
69,VANDAVASI,TIRUVANNAMALAI,JAISANKAR. M,Independent, 144 ,Status of EVM Round:11/21,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/JAISH-2026-20260406095247.jpg,02:27 PM On 04/05/2026
69,VANDAVASI,TIRUVANNAMALAI,PONNAMBALAM. P,Independent, 136 ,Status of EVM Round:11/21,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/PPONN-2026-20260402040302.jpg,02:27 PM On 04/05/2026
69,VANDAVASI,TIRUVANNAMALAI,UDHAYAKUMAR. N,Independent, 81 ,Status of EVM Round:11/21,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/UDHAY-2026-20260406082811.jpg,02:27 PM On 04/05/2026
69,VANDAVASI,TIRUVANNAMALAI,MUTHUPERUMAL. K,Aanaithinthiya Jananayaka Pathukappu Kazhagam, 76 ,Status of EVM Round:11/21,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/MUTHU-2026-20260406093749.jpg,02:27 PM On 04/05/2026
69,VANDAVASI,TIRUVANNAMALAI,KANNIYAPPAN. S,Independent, 54 ,Status of EVM Round:11/21,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/KANNI-2026-20260406094814.jpg,02:27 PM On 04/05/2026
69,VANDAVASI,TIRUVANNAMALAI,MUTHUSELVAM. V,Anti Corruption Dynamic Party, 50 ,Status of EVM Round:11/21,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/MUTHU-2026-20260404062021.jpg,02:27 PM On 04/05/2026
69,VANDAVASI,TIRUVANNAMALAI,AMBEDKAR. T,Independent, 36 ,Status of EVM Round:11/21,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/AMBED-2026-20260406070202.jpg,02:27 PM On 04/05/2026
69,VANDAVASI,TIRUVANNAMALAI,RAKESH SHARMA. R,Thakkam Katchi, 34 ,Status of EVM Round:11/21,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/RRAKE-2026-20260410115853.jpg,02:27 PM On 04/05/2026
69,VANDAVASI,TIRUVANNAMALAI,ARJUNAN. M,Independent, 21 ,Status of EVM Round:11/21,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/ARCHU-2026-20260406102404.jpg,02:27 PM On 04/05/2026
69,VANDAVASI,TIRUVANNAMALAI,NOTA,None of the Above, 482 ,Status of EVM Round:11/21,https://results.eci.gov.in/ResultAcGenMay2026/img/nota.jpg,02:27 PM On 04/05/2026
